"node","group","degree","betweenness","closeness","eigenvector"
218,"most_changed",14,0.00424523715776697,0.324561403508772,0.620634486059219
525,"most_changed",10,0.0022907455344652,0.313953488372093,0.412058906551718
994,"most_changed",7,0.0010305247767932,0.302635564980309,0.339111630732098
297,"most_changed",12,0.00319719870451623,0.317546090273363,0.47554899142129
802,"most_changed",13,0.00331438636797063,0.317546090273363,0.493046909600042
404,"least_changed",11,0.00255342366624264,0.305878750765462,0.398407311362216
975,"least_changed",17,0.0075814974450612,0.337386018237082,0.708975769108198
93,"least_changed",9,0.00199026266355729,0.299012271774918,0.325436929594429
444,"least_changed",3,0.000256307071246991,0.26303317535545,0.101440547568694
215,"least_changed",11,0.00251005779890132,0.314249764076754,0.506306379222692
